PART,NB. OF ELEMENTS,Percentage Increased
59399994,0,0.0
59399995,1651,0.0
59399996,1651,0.0
59399997,1292,0.0
59399998,1292,0.0
59399999,1651,0.0
59400000,1292,0.0
59400001,498,0.0
59400002,498,0.0
59400003,498,0.0
59400004,2,0.0
59400005,2,0.0
59400006,2,0.0
59400007,47,0.0
59400008,47,0.0
59400009,47,0.0
59400010,0,0.0
59400011,0,0.0
59400012,384,861.7040225619712
59400013,0,0.0
59400014,0,0.0
59400015,3225,0.0
59400016,696,0.1179245283018854
59400017,1,0.0
59400018,284,4.687499999999996
59400019,26,428.380187416332
59400021,280,125.87168758716876
59400022,280,125.84844258484424
59400023,280,125.87168758716876
59400024,280,125.80195258019526
59400025,526,153.1005971520441
59400026,90,0.0
59400027,234,0.0
59400028,796,209.4866071428571
59400030,792,210.0809581900854
59400032,72,0.0
59400033,72,0.0689655172413764
59400036,526,153.1005971520441
59400037,72,0.0
59400038,90,0.0
59400039,69,0.0
59400040,69,0.0
59400043,69,0.0
59400044,69,0.0
59400045,69,0.0
59400046,69,0.0
59400047,69,0.0
59400048,69,0.0
59400049,69,0.0
59400050,69,0.0
59400051,234,0.0
59400052,796,209.59821428571425
59400053,712,0.0
59400054,424,0.0
59400055,60,2.667167543200597
59400056,16,4.060410992820007
