PART,MTYP,NB. OF ELEMENTS,INPUT     ELEM. MASS,ADDED INIT MASS SCALE,ADDED DYN. MASS SCALE,ADDED NON-STRU. MASS,ADDED   MASSTRIM,ADDED NODAL MASS,FINAL     ELEM. MASS,FINAL NODAL MASS,Percentage Increased
440041,105,5695,0.85,7.131e-06,0.01211,0.0,0.0,0.0,0.8621,0.8836,1.423529411764706
442100,105,611,0.1298,0.0,0.0,0.0,0.0,0.0,0.1298,0.1298,0.0
442200,105,2686,0.4122,0.0,0.0,0.0,0.0,0.0,0.4122,0.4122,0.0
443000,105,4590,1.01,5.843e-06,0.003625,0.0,0.0,0.0,1.014,1.029,0.3960396039603964
450000,105,6975,1.348,5.022e-06,0.002396,0.0,0.0,0.0,1.351,1.388,0.2225519287833747
450100,105,5417,1.763,0.0,0.0,0.0,0.0,0.0,1.763,1.77,0.0
450300,105,4097,0.9631,3.17e-05,0.0008978,0.0,0.0,0.0,0.964,0.9829,0.0934482400581468
450400,105,4040,0.6107,2.773e-06,0.007405,0.0,0.0,0.0,0.6181,0.6354,1.211724250859663
450600,105,170,0.06718,0.0,0.0,0.0,0.0,0.0,0.06718,0.06718,0.0
450701,105,4126,0.7527,0.0,0.01387,0.0,0.0,0.0,0.7666,0.8018,1.846685266374374
460000,105,5013,1.536,1.281e-06,0.007966,0.0,0.0,0.0,1.544,1.593,0.5208333333333338
460001,105,31,0.009319,0.0,0.0004723,0.0,0.0,0.0,0.009792,0.01122,5.075651893980054
460300,105,372,0.1488,0.0,0.0,0.0,0.0,0.0,0.1488,0.1488,0.0
470000,105,8131,1.537,0.0,0.01182,0.0,0.0,0.0,1.549,1.585,0.7807417046193891
470005,105,198,0.06544,0.0,0.0,0.0,0.0,0.0,0.06544,0.06544,0.0
470010,105,1859,0.286,0.0,0.0,0.0,0.0,0.0,0.286,0.286,0.0
470020,105,4281,0.9451,6.865e-07,0.0003804,0.0,0.0,0.0,0.9455,0.9559,0.0423235636440541
470040,105,3312,0.7237,0.0,0.0008724,0.0,0.0,0.0,0.7246,0.7336,0.1243609230344081
470090,105,5550,2.296,3.313e-05,3.937e-05,0.0,0.0,0.0,2.296,2.335,0.0
470100,105,3079,0.5507,6.088e-05,0.003512,0.0,0.0,0.0,0.5543,0.5614,0.6537134556019698
470120,105,417,0.1774,0.0,0.0,0.0,0.0,0.0,0.1774,0.1799,0.0
470130,105,5584,1.23,0.0,0.004759,0.0,0.0,0.0,1.234,1.252,0.3252032520325206
470135,105,2845,1.111,4.315e-06,0.0001673,0.0,0.0,0.0,1.111,1.121,0.0
470150,105,3614,1.716,0.0,0.0,0.0,0.0,0.0,1.716,1.725,0.0
470160,105,5563,1.038,0.0,7.098e-06,0.0,0.0,0.0,1.038,1.039,0.0
470220,105,2061,0.4516,0.0,0.001463,0.0,0.0,0.0,0.4531,0.4718,0.3321523472099206
470240,105,1042,0.3582,0.0,0.0,0.0,0.0,0.0,0.3582,0.371,0.0
470250,105,933,0.1753,1.225e-05,0.003015,0.0,0.0,0.0,0.1783,0.1833,1.7113519680547489
470260,105,1034,0.2867,0.0,0.002396,0.0,0.0,0.0,0.2891,0.3048,0.837111963725153
470261,105,48,0.03129,0.0,0.0,0.0,0.0,0.0,0.03129,0.02865,0.0
470262,100,4,0.000785,0.0,0.0,0.0,0.0,0.0,0.000785,0.000785,0.0
470300,105,825,0.2211,0.0,0.004141,0.0,0.0,0.0,0.2253,0.252,1.899592944369068
470800,105,746,0.2616,0.0,0.0,0.0,0.0,0.0,0.2616,0.2616,0.0
471020,105,40795,6.03,1.913e-05,0.09268,0.0,0.0,0.0,6.123,6.278,1.5422885572139298
471100,105,1750,0.261,0.0,0.003673,0.0,0.0,0.0,0.2646,0.2692,1.379310344827583
471200,105,5907,0.8432,1.365e-05,0.016,0.0,0.0,0.0,0.8592,0.8822,1.8975332068311213
472000,105,1149,0.1717,1.923e-07,0.006799,0.0,0.0,0.0,0.1785,0.1917,3.960396039603961
472100,105,1139,0.1527,0.0,0.009039,0.0,0.0,0.0,0.1617,0.1747,5.893909626719062
